,Latitude,Longitude,Index of Multiple Deprivation Decile
0,51.353446999999996,-0.14943197,6
1,51.44341,-0.18744214,7
2,51.471553,-0.14865958,5
3,51.445956,-0.20271062,9
4,51.427063000000004,-0.30037608,10
5,,,5
6,51.441289000000005,-0.16440252,5
7,51.446158000000004,-0.23734122,4
8,51.409344,-0.21895720000000002,9
9,51.478598999999996,-0.27822789,6
10,51.385583000000004,-0.15826805,2
11,51.42988,-0.14968285,7
12,51.374237,-0.17339341,6
13,51.383832,-0.19893712,4
14,51.420471,-0.20323592,7
15,51.389815000000006,-0.29908323,6
16,51.454982,-0.19786534,3
17,51.411590999999994,-0.15382938,6
18,51.441631,-0.1811237,6
19,51.35075,-0.13021079,9
20,51.463341,-0.22706263,10
21,51.39155,-0.18513718,4
22,51.465721,-0.25320149,10
23,51.455684000000005,-0.29221721,5
24,51.451724,-0.36769438,5
25,51.443813,-0.16309253,9
26,51.447582000000004,-0.20612945,10
27,51.376117,-0.17399392,3
28,51.46346,-0.15376674,9
29,51.414147,-0.30701,7
30,51.356807,-0.20177820000000002,9
31,51.447555,-0.23692766,4
32,51.461583000000005,-0.19612259,7
33,51.430653,-0.19114074,6
34,51.484347,-0.24018989,4
35,51.459443,-0.18392803,8
36,51.461321000000005,-0.1785991,8
37,51.482391,-0.27925165,6
38,51.401607,-0.27767033,3
39,51.388607,-0.24336241,9
40,51.39132,-0.29493103,3
41,51.476689,-0.15045329999999998,7
42,51.433898,-0.3513967,9
43,51.394044,-0.19522996,5
44,51.445359,-0.13394708,6
45,51.396783,-0.31081363,10
46,51.418459000000006,-0.16738831,4
47,51.379151,-0.18118738,4
48,51.377256,-0.17269844,5
49,51.474959000000005,-0.14735531,3
50,51.460583,-0.20360441,10
51,51.414724,-0.19092109,3
52,51.449174,-0.33223833,9
53,51.368476,-0.18869304,2
54,51.397801,-0.24904792,7
55,51.444825,-0.19115638,4
56,51.422416,-0.20167814,7
57,51.416084000000005,-0.30166056,8
58,51.460869,-0.20406823,10
59,51.454258,-0.16621408,9
60,51.457406,-0.20757240000000002,8
61,51.367563,-0.31425945,6
62,51.445147,-0.21095933,4
63,51.420477000000005,-0.14364789,6
64,51.461568,-0.19633910000000002,7
65,51.384384999999995,-0.17020133,3
66,51.417204,-0.20365165,9
67,51.368204,-0.19962219,4
68,,,6
69,51.469097,-0.15025643,5
70,51.458883,-0.18664211,8
71,51.366673,-0.20120503,7
72,51.371319,-0.18352357,8
73,51.414188,-0.30489453,7
74,,,4
75,51.432254,-0.37539439,3
76,51.436026,-0.16766371,7
77,51.386348,-0.16007692,2
78,51.463596,-0.17973222,4
79,51.352121999999994,-0.13278307,1
80,51.369256,-0.12342296,8
81,51.406283,-0.29555353,6
82,,,6
83,51.391203000000004,-0.19115907,4
84,51.433215000000004,-0.25514656,6
85,51.442578000000005,-0.20524632,9
86,51.447582000000004,-0.20612945,10
87,51.436803999999995,-0.21404777,9
88,51.441919,-0.19397642,9
89,51.353699,-0.13299183,2
90,51.401877,-0.25219893,7
91,51.458523,-0.21236528,8
92,51.364290000000004,-0.18141709,8
93,,,4
94,51.356952,-0.12382531,2
95,51.407097,-0.11050067,2
96,51.387986,-0.30810505,8
97,51.426179,-0.20138655,9
98,51.450813000000004,-0.19751138,5
99,51.430884999999996,-0.34754906,9
100,51.382181,-0.23583394,7
101,51.356359999999995,-0.12899135,2
102,51.446158000000004,-0.23734122,4
103,51.426731,-0.15813884,3
104,51.470690000000005,-0.22481957,7
105,51.439851000000004,-0.18346786,8
